order_id,customer_id,order_date,category,payment_method,delivery_method,order_value,discount_pct,size_mismatch_risk,signup_date,returned
58358,6653,2024-01-01,accessories,card,standard,3470.14,0.124,0,2023-12-25,0
35383,7125,2024-01-01,electronics,cod,express,2447.17,0.251,0,2023-11-29,1
31293,7069,2024-01-01,books,upi,standard,610.8,0.609,0,2022-12-06,0
44325,3490,2024-01-01,electronics,cod,standard,18483.45,0.59,0,2023-04-30,0
54035,7949,2024-01-01,home,card,standard,437.07,0.248,1,2023-12-15,0
56083,6353,2024-01-01,apparel,upi,express,842.1,0.135,1,2023-02-11,0
56061,5752,2024-01-01,accessories,cod,standard,710.38,0.198,1,2023-05-17,0
19612,6063,2024-01-01,footwear,card,standard,1263.56,0.089,0,2023-02-20,0
57634,6551,2024-01-01,electronics,cod,standard,4641.53,0.291,0,2023-01-25,0
24974,5514,2024-01-01,accessories,card,standard,1207.04,0.243,0,2023-10-09,0
32260,4546,2024-01-01,home,card,standard,743.21,0.267,0,2023-07-15,0
15315,1878,2024-01-01,apparel,wallet,standard,1033.89,0.086,1,2023-07-07,0
17255,4287,2024-01-01,apparel,cod,standard,1082.9,0.173,0,2023-09-28,0
26467,611,2024-01-01,home,cod,standard,3249.09,0.264,0,2022-12-18,0
36286,2253,2024-01-01,accessories,wallet,express,490.01,0.445,0,2023-04-19,0
15954,1079,2024-01-01,home,cod,standard,1995.86,0.436,0,2023-09-03,0
35686,6222,2024-01-01,accessories,cod,standard,1285.6,0.096,0,2023-05-26,0
15969,394,2024-01-01,accessories,card,standard,2135.73,0.189,0,2023-11-26,1
55663,3563,2024-01-01,electronics,netbanking,standard,6341.39,0.244,0,2023-05-31,0
57813,6097,2024-01-01,electronics,upi,standard,3725.69,0.334,0,2023-01-06,0
9325,5477,2024-01-01,home,cod,standard,5408.88,0.339,0,2023-06-07,0
17107,2200,2024-01-01,beauty,card,standard,388.1,0.6,0,2023-07-10,0
29215,2061,2024-01-01,home,cod,standard,2408.38,0.524,0,2023-10-19,0
30118,5976,2024-01-01,apparel,upi,express,921.36,0.166,0,2023-11-04,1
59067,2712,2024-01-01,footwear,cod,standard,3298.91,0.524,0,2023-03-27,0
52248,5041,2024-01-01,apparel,wallet,standard,447.41,0.31,0,2023-12-23,1
29842,166,2024-01-01,electronics,cod,standard,6105.41,0.046,0,2023-08-21,0
12494,1422,2024-01-01,footwear,upi,standard,3299.04,0.384,0,2023-02-05,1
12454,406,2024-01-01,electronics,upi,standard,4221.11,0.254,0,2023-12-15,0
31445,7454,2024-01-01,footwear,card,express,3020.73,0.177,0,2023-02-07,1
42619,3242,2024-01-01,accessories,cod,standard,1937.15,0.195,0,2023-06-08,0
42616,5966,2024-01-01,home,card,standard,3630.15,0.251,0,2023-08-26,0
12593,527,2024-01-01,electronics,cod,standard,2582.4,0.42,0,2023-10-21,0
14511,4859,2024-01-01,apparel,netbanking,express,5363.08,0.062,0,2023-02-06,0
51766,3976,2024-01-01,electronics,upi,standard,6249.29,0.258,0,2023-06-16,0
54953,6137,2024-01-01,electronics,card,standard,4560.15,0.217,0,2023-10-02,1
36822,7384,2024-01-01,home,wallet,express,2156.73,0.414,0,2022-12-06,0
31624,1957,2024-01-01,apparel,upi,standard,1052.03,0.362,0,2023-04-08,0
38168,4464,2024-01-01,apparel,netbanking,standard,3063.67,0.273,1,2023-09-28,0
11794,6985,2024-01-01,apparel,cod,standard,521.95,0.224,1,2022-12-21,0
3203,5206,2024-01-01,apparel,upi,express,518.51,0.543,0,2023-11-20,0
570,5851,2024-01-01,apparel,cod,express,1934.03,0.198,0,2023-10-04,1
29669,1612,2024-01-01,apparel,wallet,standard,1469.5,0.371,0,2023-12-11,0
11638,4969,2024-01-01,beauty,card,express,312.29,0.283,0,2023-09-18,0
26181,7517,2024-01-01,apparel,wallet,standard,735.16,0.429,1,2023-09-02,0
45998,131,2024-01-01,apparel,cod,standard,521.47,0.349,0,2023-12-08,1
54531,475,2024-01-01,books,upi,standard,481.97,0.156,0,2023-02-17,0
39946,6814,2024-01-01,footwear,cod,standard,516.16,0.315,0,2023-01-24,0
15084,3281,2024-01-01,electronics,wallet,standard,8523.58,0.22,0,2023-09-14,0
59793,1626,2024-01-01,footwear,wallet,standard,781.31,0.219,0,2023-10-13,0
9344,3357,2024-01-01,electronics,card,express,8370.5,0.247,0,2023-10-06,0
35747,2399,2024-01-01,books,cod,standard,530.71,0.586,0,2022-12-04,0
51519,371,2024-01-01,accessories,upi,standard,417.35,0.487,1,2023-06-01,0
47787,3796,2024-01-01,home,card,express,2801.95,0.242,1,2023-10-30,0
3516,7986,2024-01-01,footwear,upi,express,2824.54,0.48,0,2023-01-13,0
39642,3073,2024-01-01,electronics,wallet,standard,4492.1,0.066,0,2023-01-07,0
58120,6478,2024-01-01,home,cod,standard,913.56,0.072,0,2023-11-07,0
59982,4539,2024-01-01,beauty,netbanking,standard,759.58,0.175,0,2023-05-28,0
39616,2341,2024-01-01,home,cod,standard,1872.51,0.541,0,2023-08-01,0
9958,586,2024-01-01,books,wallet,standard,165.81,0.046,0,2023-11-21,0
48477,1727,2024-01-01,apparel,cod,standard,1076.92,0.378,1,2022-12-05,0
9525,6909,2024-01-01,home,netbanking,standard,911.55,0.148,0,2023-06-30,0
43986,4822,2024-01-01,footwear,upi,standard,1884.03,0.483,1,2023-04-01,0
7356,5563,2024-01-01,books,cod,standard,341.32,0.329,1,2023-07-15,0
48436,5870,2024-01-01,apparel,cod,standard,547.15,0.152,0,2023-09-10,0
40147,6829,2024-01-01,home,cod,standard,2258.78,0.426,0,2023-08-10,0
10161,2407,2024-01-01,apparel,cod,standard,521.03,0.229,0,2022-12-08,0
29339,6224,2024-01-02,accessories,card,express,955.97,0.467,0,2023-01-29,0
56948,7746,2024-01-02,apparel,cod,standard,2494.31,0.095,0,2023-09-01,0
9691,6218,2024-01-02,apparel,card,standard,3324.89,0.16,0,2023-11-21,1
47909,601,2024-01-02,books,card,standard,1588.95,0.395,0,2023-09-21,0
25319,435,2024-01-02,apparel,cod,standard,864.4,0.358,0,2023-11-07,0
18608,4245,2024-01-02,home,cod,express,3626.26,0.369,0,2023-12-02,0
36563,1118,2024-01-02,toys,netbanking,standard,522.23,0.192,0,2023-09-22,0
20364,2776,2024-01-02,electronics,cod,standard,4601.3,0.298,0,2023-08-30,0
20786,6551,2024-01-02,apparel,upi,express,949.57,0.212,0,2023-01-25,0
7334,1838,2024-01-02,apparel,cod,standard,1404.55,0.254,0,2023-08-03,1
2762,2860,2024-01-02,accessories,upi,standard,697.01,0.291,0,2022-12-25,0
52390,3474,2024-01-02,footwear,card,standard,1478.56,0.299,1,2023-05-18,0
13709,2520,2024-01-02,footwear,card,standard,1853.22,0.131,0,2023-08-11,0
47120,7194,2024-01-02,apparel,netbanking,standard,1061.83,0.304,0,2023-03-08,0
55769,2412,2024-01-02,apparel,upi,express,2062.05,0.202,0,2023-11-09,0
31225,6070,2024-01-02,apparel,upi,express,2154.3,0.21,1,2023-06-19,0
57212,2543,2024-01-02,beauty,upi,standard,1233.27,0.22,0,2023-10-14,0
33185,7572,2024-01-02,apparel,cod,standard,2193.92,0.086,1,2022-12-15,0
4695,2314,2024-01-02,electronics,upi,standard,5707.4,0.17,0,2023-01-22,0
43366,1085,2024-01-02,apparel,cod,express,633.85,0.292,0,2023-01-26,0
49791,4275,2024-01-02,apparel,cod,standard,478.91,0.158,0,2023-03-23,0
42011,5568,2024-01-02,apparel,card,standard,1319.04,0.328,0,2023-01-04,0
55533,6231,2024-01-02,footwear,cod,standard,1142.14,0.391,0,2023-03-12,0
14957,5295,2024-01-02,home,upi,standard,3074.36,0.149,0,2023-07-16,0
44522,3467,2024-01-02,apparel,upi,standard,1577.95,0.285,0,2023-09-28,0
1565,750,2024-01-02,electronics,card,standard,3658.96,0.161,0,2023-01-24,1
46125,4604,2024-01-02,footwear,card,express,1914.42,0.308,1,2023-12-15,1
39788,7159,2024-01-02,home,cod,standard,2195.83,0.288,0,2023-07-14,0
29321,1940,2024-01-02,home,netbanking,express,1623.87,0.163,0,2023-02-08,0
11193,3,2024-01-02,footwear,card,standard,2958.92,0.059,0,2023-04-28,1
11578,7432,2024-01-02,home,upi,standard,1202.19,0.234,0,2023-11-22,0
18732,4181,2024-01-02,apparel,upi,express,7661.87,0.122,0,2023-08-15,0
40135,7689,2024-01-02,beauty,cod,standard,1112.35,0.397,0,2022-12-13,0
41581,2080,2024-01-02,beauty,upi,standard,828.89,0.33,0,2023-10-07,0
14863,5723,2024-01-02,electronics,cod,standard,16085.79,0.053,0,2023-07-12,0
50039,7416,2024-01-02,apparel,card,standard,596.7,0.193,0,2023-09-01,1
25720,7550,2024-01-02,home,upi,standard,1701.74,0.101,0,2022-12-12,0
35421,2481,2024-01-02,home,card,standard,1329.27,0.122,0,2023-09-14,0
35576,3365,2024-01-02,beauty,upi,standard,480.59,0.47,0,2023-02-09,0
2784,2199,2024-01-02,footwear,card,express,3069.21,0.218,0,2023-07-09,0
47136,7972,2024-01-02,home,cod,standard,8827.65,0.094,0,2023-08-14,0
12249,3923,2024-01-02,footwear,card,standard,4121.62,0.246,0,2023-04-25,1
34943,4488,2024-01-02,home,cod,standard,1891.3,0.026,0,2023-01-18,0
43082,2264,2024-01-02,home,cod,standard,695.84,0.195,0,2023-09-23,0
27519,4719,2024-01-02,electronics,card,express,8095.49,0.155,0,2023-04-19,0
39440,2631,2024-01-02,footwear,netbanking,standard,489.74,0.616,0,2023-12-19,0
45127,6775,2024-01-02,footwear,upi,express,1665.36,0.198,0,2023-03-09,0
6936,5940,2024-01-02,beauty,upi,express,1175.23,0.404,0,2023-03-18,0
39461,2825,2024-01-02,apparel,card,standard,425.21,0.47,0,2023-07-20,0
40956,5285,2024-01-02,apparel,netbanking,standard,815.96,0.292,0,2023-10-09,0
26653,3260,2024-01-02,apparel,card,standard,640.29,0.254,0,2023-12-21,0
58681,3725,2024-01-02,home,card,standard,3276.3,0.164,0,2023-06-07,0
56034,2285,2024-01-02,apparel,cod,standard,1497.74,0.438,0,2023-11-28,0
30582,4200,2024-01-02,apparel,card,standard,2321.94,0.016,0,2023-05-09,0
14471,8,2024-01-02,footwear,upi,standard,3512.49,0.278,0,2023-07-10,0
16730,3241,2024-01-02,apparel,card,standard,1797.55,0.229,0,2023-06-20,0
56538,3674,2024-01-02,home,cod,express,1288.3,0.288,0,2023-03-20,0
30534,7328,2024-01-02,apparel,netbanking,standard,577.45,0.331,0,2023-01-01,1
25545,1483,2024-01-02,books,cod,standard,439.82,0.091,0,2023-08-12,0
6020,658,2024-01-02,apparel,wallet,standard,1491.53,0.42,0,2023-08-04,0
16701,2182,2024-01-02,toys,wallet,standard,980.48,0.141,0,2022-12-24,0
14051,4471,2024-01-02,apparel,cod,standard,1472.82,0.195,1,2023-08-21,0
27149,4136,2024-01-02,home,upi,express,2503.87,0.321,0,2023-08-09,0
22590,7220,2024-01-02,apparel,netbanking,standard,1113.6,0.191,0,2023-08-30,0
52810,5049,2024-01-02,electronics,cod,standard,9050.81,0.066,0,2023-03-09,0
57889,3782,2024-01-02,footwear,wallet,standard,2513.94,0.539,0,2023-03-08,1
44806,3318,2024-01-02,apparel,upi,standard,1880.17,0.16,1,2023-02-02,0
36014,777,2024-01-02,footwear,upi,standard,2218.74,0.385,0,2023-07-16,0
48205,819,2024-01-02,electronics,upi,standard,7051.42,0.255,0,2023-10-02,0
31024,4108,2024-01-02,footwear,cod,standard,2269.38,0.149,0,2023-09-13,0
50406,6442,2024-01-02,electronics,wallet,standard,6584.94,0.119,0,2022-12-05,0
44267,3977,2024-01-02,electronics,wallet,express,5773.94,0.135,0,2023-10-18,0
57032,375,2024-01-03,beauty,card,standard,1072.82,0.109,0,2023-09-15,0
