feature,value,shap_contribution
category,apparel,0.6288063637960288
size_mismatch_risk,1,0.20657052696026876
cat_prior_return_rate,0.0030852994555353,0.16279531971709602
order_value,1981.24,0.14771263456940653
cust_prior_return_rate_smoothed,0.3333333333333333,0.10095776261059417
account_age_days,869,0.08640590171359623
payment_method,cod,0.0561933197533065
discount_pct,0.317,0.05448837220774751
order_value_vs_cust_avg,0.7389777531606028,0.04477389163710823
cust_prior_orders,4,-0.03655115223207189
days_since_prev_order,20.0,0.01529284906112326
delivery_method,standard,0.01364308835054041
cust_prior_avg_order_value,2681.0550000000003,0.0039558518241533825
